251,10,,,,,,,,,
h,so2,no2,co,o3,pm10,pm2_5,Casella,Tem,Hum,R
3,15,28,1,80,0,46,0.138,10.1,76.7,0.054
4,13,24,1,83,0,45,0.13,9.9,76.3,0.092
4,13,24,1,83,0,45,0.123,9.7,76.5,0.063
5,12,24,0.9,83,0,48,0.119,10,75.5,0.066
5,12,24,0.9,83,0,48,0.12,10.3,74.4,0.071
6,12,26,0.9,82,0,42,0.122,10.2,76.2,0.087
6,12,26,0.9,82,0,42,0.125,10.3,74.7,0.097
7,12,43,0.9,67,0,46,0.123,10.3,74.2,0.129
7,12,43,0.9,67,0,46,0.121,10.3,72.9,0.146
8,12,57,1,57,0,38,0.121,10.8,71.4,0.184
8,12,57,1,57,0,38,0.1,11.4,67.9,0.149
9,13,42,0.9,73,33,32,0.087,12.1,64.5,0.138
9,13,42,0.9,73,33,32,0.08,12.6,63.3,0.11
10,13,29,0.9,86,35,30,0.083,13.1,66.1,0.105
10,13,29,0.9,86,35,30,0.079,13.7,64.1,0.103
11,12,26,0.8,91,35,23,0.07,14.3,63.9,0.119
11,12,26,0.8,91,35,23,0.067,14.7,64.2,0.114
12,12,23,0.8,97,31,23,0.065,14.9,62.9,0.107
12,12,23,0.8,97,31,23,0.083,14.9,63.6,0.099
13,14,31,0.9,87,32,20,0.089,14.7,67.1,0.128
13,14,31,0.9,87,32,20,0.095,14.5,73,0.12
14,15,36,0.9,86,42,29,0.106,14.1,75.5,0.141
14,15,36,0.9,86,42,29,0.104,13.7,74.1,0.146
15,15,39,0.9,87,37,34,0.109,13,78.1,0.09
15,15,39,0.9,87,37,34,0.117,12.7,79,0.104
16,13,32,1,93,41,37,0.126,12.7,80.1,0.081
9,22,49,0.8,72,60,53,0.154,12.4,73.9,0.189
10,61,41,0.8,84,57,53,0.127,13.2,70.5,0.143
10,61,41,0.8,84,57,53,0.125,13.7,68.8,0.138
11,59,34,0.7,97,53,47,0.112,14.4,64.5,0.149
11,59,34,0.7,97,53,47,0.1,15,62.1,0.13
12,24,27,0.5,106,0,39,0.089,15.5,58.4,0.119
12,24,27,0.5,106,0,39,0.088,15.9,55.6,0.113
13,34,26,0.5,112,0,31,0.082,16.1,52.9,0.126
13,34,26,0.5,112,0,31,0.086,16.4,52.6,0.148
14,17,23,0.5,120,35,29,0.088,16.7,52,0.153
14,17,23,0.5,120,35,29,0.093,17.1,52.5,0.172
15,0,0,0.5,125,40,29,0.095,17.5,52.5,0.164
15,0,0,0.5,125,40,29,0.103,17.5,51.1,0.163
16,9,25,0.5,104,52,35,0.11,17.2,58.4,0.208
16,9,25,0.5,104,52,35,0.12,16.8,58.6,0.166
17,9,32,0.6,113,61,37,0.139,16.4,61.2,0.19
17,9,32,0.6,113,61,37,0.145,15.8,61.2,0.179
18,10,36,0.6,111,65,45,0.13,15.3,61.9,0.139
18,10,36,0.6,111,65,45,0.123,14.9,69.4,0.129
19,10,36,0.6,103,57,40,0.109,15,69.9,0.133
19,10,36,0.6,103,57,40,0.102,14.8,70.9,0.129
20,9,33,0.6,97,51,34,0.103,14.8,74.2,0.119
20,9,33,0.6,97,51,34,0.106,14.6,74.8,0.116
21,9,33,0.6,92,48,32,0.096,14.3,75.1,0.112
9,10,37,0.7,55,0,42,0.112,14.8,83.9,0.208
9,10,37,0.7,55,0,42,0.081,14.8,82.9,0.07
10,8,31,0.8,66,0,40,0.051,14.5,82.2,0.117
10,8,31,0.8,66,0,40,0.057,14.6,80.7,0.174
11,8,31,1,64,0,29,0.055,14.6,78.2,0.203
11,8,31,1,64,0,29,0.05,14.7,77.5,0.134
12,8,33,0.8,67,0,23,0.05,14.4,76.3,0.108
12,8,33,0.8,67,0,23,0.051,13.6,76.2,0.347
13,7,32,0.6,78,0,26,0.053,13.6,75.1,0.102
13,7,32,0.6,78,0,26,0.054,13.5,76.3,0.075
14,7,37,0.6,72,0,26,0.056,13.6,75.9,0.095
14,7,37,0.6,72,0,26,0.061,13.2,74.9,0.071
15,7,40,0.6,66,28,28,0.07,13.1,79.3,0.074
15,7,40,0.6,66,28,28,0.074,13.4,76.7,0.07
16,8,50,0.7,61,0,31,0.077,13.8,74.1,0.085
16,8,50,0.7,61,0,31,0.088,14.2,73.6,0.101
17,8,59,0.7,54,38,36,0.089,14.2,73.5,0.101
17,8,59,0.7,54,38,36,0.096,14.5,71.7,0.11
18,8,59,0.8,57,0,38,0.101,14.3,71.6,0.115
18,8,59,0.8,57,0,38,0.106,14.4,71.3,0.111
19,8,56,0.8,58,0,40,0.115,14.4,70.2,0.117
19,8,56,0.8,58,0,40,0.12,14.4,71.2,0.112
20,8,52,0.8,58,0,43,0.13,14.1,71.2,0.104
20,8,52,0.8,58,0,43,0.133,14,72.8,0.103
13,8,12,0.6,138,0,26,0.0651,30.2,52.9,0.1587
13,8,12,0.6,138,0,26,0.0621,29.5,53.7,0.1428
14,8,14,0.5,136,30,24,0.0606,30.1,52.7,0.1325
14,8,14,0.5,136,30,24,0.0613,30.4,52,0.1529
14,8,14,0.5,136,30,24,0.0596,30.6,51.1,0.131
14,8,14,0.5,136,30,24,0.0589,31,51.1,0.1262
15,7,13,0.5,138,28,22,0.0614,31,51.5,0.1344
15,7,13,0.5,138,28,22,0.0606,30.2,54.6,0.1572
15,7,13,0.5,138,28,22,0.0638,30.2,55,0.1425
16,7,15,0.6,127,45,28,0.0638,30.7,53.6,0.137
16,7,15,0.6,127,45,28,0.0664,30.8,53.9,0.1279
16,7,15,0.6,127,45,28,0.0627,30.9,52.8,0.1252
17,7,18,0.5,122,40,28,0.0664,29.7,55.5,0.1238
17,7,18,0.5,122,40,28,0.0677,29.9,53.7,0.1298
17,7,18,0.5,122,40,28,0.065,30,55.2,0.1298
17,7,18,0.5,122,40,28,0.0745,30.8,54,0.1437
18,7,21,0.5,110,38,30,0.0647,29.2,57.6,0.1433
18,7,21,0.5,110,38,30,0.0621,28.5,59.7,0.1161
18,7,21,0.5,110,38,30,0.0676,24.2,60,0.1322
19,7,22,0.5,97,43,23,0.0624,28.7,60.5,0.1135
19,7,22,0.5,97,43,23,0.0634,28.6,61.9,0.1113
19,7,22,0.5,97,43,23,0.0664,27.5,65.5,0.1106
20,7,26,0.5,82,58,24,0.063,27.3,66.6,0.096
20,7,26,0.5,82,58,24,0.0668,26.8,69.2,0.0978
21,7,25,0.5,76,53,23,0.0712,26.7,70.4,0.1011
21,7,25,0.5,76,53,23,0.0736,26.5,72,0.0813
21,7,25,0.5,76,53,23,0.076,26.1,73.5,0.0897
22,7,27,0.5,70,50,25,0.0784,26.2,73.5,0.1383
22,7,27,0.5,70,50,25,0.0845,26.2,73.3,0.1077
22,7,27,0.5,70,50,25,0.0827,25.6,74.1,0.0879
23,9,34,0.5,61,42,25,0.1021,25.9,75.1,0.1194
23,9,34,0.5,61,42,25,0.1061,25.8,74.9,0.095
0,21,32,0.5,65,0,26,0.0987,25.6,74.8,0.1061
0,21,32,0.5,65,0,26,0.0744,25.7,73,0.0725
0,21,32,0.5,65,0,26,0.0644,25.6,72.3,0.0754
1,54,32,0.6,67,0,26,0.0633,25,73.2,0.0978
1,54,32,0.6,67,0,26,0.0597,25.1,72.7,0.07
2,49,29,0.5,72,0,25,0.0541,24.8,72.5,0.0714
2,49,29,0.5,72,0,25,0.0445,24.5,71.9,0.0532
2,49,29,0.5,72,0,25,0.045,24.6,71,0.0538
3,24,22,0.5,80,0,22,0.0468,24.4,71.1,0.0559
3,24,22,0.5,80,0,22,0.0438,24.4,70.7,0.0495
4,15,24,0.5,79,0,19,0.0462,24.4,70.6,0.0761
4,15,24,0.5,79,0,19,0.0468,24.3,71.2,0.0658
4,15,24,0.5,79,0,19,0.0499,24.2,71.3,0.0804
5,9,28,0.5,70,19,19,0.0519,24.3,71.7,0.0755
5,9,28,0.5,70,19,19,0.0697,24.3,71.5,0.0748
5,9,28,0.5,70,19,19,0.0567,24.4,71.8,0.0921
6,9,31,0.5,68,31,22,0.0624,24.4,72.4,0.0795
6,9,31,0.5,68,31,22,0.0662,24.7,72,0.1156
6,9,31,0.5,68,31,22,0.0644,25.1,70.8,0.1058
7,8,34,0.5,75,31,17,0.0652,26.1,66.9,0.1281
7,8,34,0.5,75,31,17,0.0593,27.1,63.2,0.1065
8,8,32,0.5,84,20,19,0.0516,27.5,60.2,0.1034
8,8,32,0.5,84,20,19,0.0442,27.5,57.9,0.0962
8,8,32,0.5,84,20,19,0.0455,27,56.8,0.0993
9,7,26,0.5,98,0,20,0.046,27.7,56.1,0.1056
9,7,26,0.5,98,0,20,0.0426,27.9,54.5,0.0946
10,7,16,0.5,116,0,20,0.0474,28.4,54,0.1263
10,7,16,0.5,116,0,20,0.048,28.6,53.8,0.1216
10,7,16,0.5,116,0,20,0.0454,28.9,51.9,0.0948
11,7,14,0.5,132,0,21,0.0448,28.8,51.6,0.0986
11,7,14,0.5,132,0,21,0.0431,28.9,51.4,0.096
12,7,14,0.5,132,0,21,0.0436,29.1,51.3,0.0872
12,7,14,0.5,141,25,23,0.0514,29.6,51.2,0.0942
12,7,14,0.5,141,25,23,0.0573,29.6,52,0.1212
13,10,18,0.5,131,43,26,0.0545,30.2,52.9,0.1187
13,10,18,0.5,131,43,26,0.0539,29,55.4,0.1128
13,10,18,0.5,131,43,26,0.0577,29.4,53.6,0.1219
14,11,18,0.5,131,46,28,0.0514,29.7,50.8,0.1293
14,11,18,0.5,131,46,28,0.0506,29.3,50.8,0.1306
15,9,16,0.5,128,0,27,0.0484,30.2,49.8,0.1239
